dataset,data_layer,metric,time_fs,value
master_results,population_diagonal_production_30ps,population_diagonal_purity,1780,0.498961501216
master_results,population_diagonal_production_30ps,population_diagonal_purity,1790,0.498096849577
master_results,population_diagonal_production_30ps,population_diagonal_purity,1800,0.497237832759
master_results,population_diagonal_production_30ps,population_diagonal_purity,1810,0.496384399185
master_results,population_diagonal_production_30ps,population_diagonal_purity,1820,0.495536497991
master_results,population_diagonal_production_30ps,population_diagonal_purity,1830,0.494694079019
master_results,population_diagonal_production_30ps,population_diagonal_purity,1840,0.493857092934
master_results,population_diagonal_production_30ps,population_diagonal_purity,1850,0.493025491006
master_results,population_diagonal_production_30ps,population_diagonal_purity,1860,0.492199225272
master_results,population_diagonal_production_30ps,population_diagonal_purity,1870,0.491378248259
master_results,population_diagonal_production_30ps,population_diagonal_purity,1880,0.490562513256
master_results,population_diagonal_production_30ps,population_diagonal_purity,1890,0.489751974066
master_results,population_diagonal_production_30ps,population_diagonal_purity,1900,0.488946585069
master_results,population_diagonal_production_30ps,population_diagonal_purity,1910,0.488146301235
master_results,population_diagonal_production_30ps,population_diagonal_purity,1920,0.487351078027
master_results,population_diagonal_production_30ps,population_diagonal_purity,1930,0.486560871466
master_results,population_diagonal_production_30ps,population_diagonal_purity,1940,0.485775638069
master_results,population_diagonal_production_30ps,population_diagonal_purity,1950,0.484995334843
master_results,population_diagonal_production_30ps,population_diagonal_purity,1960,0.484219919296
master_results,population_diagonal_production_30ps,population_diagonal_purity,1970,0.483449349393
master_results,population_diagonal_production_30ps,population_diagonal_purity,1980,0.482683583575
master_results,population_diagonal_production_30ps,population_diagonal_purity,1990,0.481922580727
master_results,population_diagonal_production_30ps,population_diagonal_purity,2000,0.481166300184
master_results,population_diagonal_production_30ps,population_diagonal_purity,2010,0.480299205757
master_results,population_diagonal_production_30ps,population_diagonal_purity,2020,0.479095884607
master_results,population_diagonal_production_30ps,population_diagonal_purity,2030,0.477313161169
master_results,population_diagonal_production_30ps,population_diagonal_purity,2040,0.474895482681
master_results,population_diagonal_production_30ps,population_diagonal_purity,2050,0.472084836107
master_results,population_diagonal_production_30ps,population_diagonal_purity,2060,0.46925602516
master_results,population_diagonal_production_30ps,population_diagonal_purity,2070,0.466700850187
master_results,population_diagonal_production_30ps,population_diagonal_purity,2080,0.464535617336
master_results,population_diagonal_production_30ps,population_diagonal_purity,2090,0.462735157716
master_results,population_diagonal_production_30ps,population_diagonal_purity,2100,0.461213965715
master_results,population_diagonal_production_30ps,population_diagonal_purity,2110,0.45988771036
master_results,population_diagonal_production_30ps,population_diagonal_purity,2120,0.458696782021
master_results,population_diagonal_production_30ps,population_diagonal_purity,2130,0.45760451178
master_results,population_diagonal_production_30ps,population_diagonal_purity,2140,0.456588468983
master_results,population_diagonal_production_30ps,population_diagonal_purity,2150,0.455634748479
master_results,population_diagonal_production_30ps,population_diagonal_purity,2160,0.454735510731
master_results,population_diagonal_production_30ps,population_diagonal_purity,2170,0.453886585157
master_results,population_diagonal_production_30ps,population_diagonal_purity,2180,0.453084124013
master_results,population_diagonal_production_30ps,population_diagonal_purity,2190,0.452322266313
master_results,population_diagonal_production_30ps,population_diagonal_purity,2200,0.451593065118
master_results,population_diagonal_production_30ps,population_diagonal_purity,2210,0.450889472415
master_results,population_diagonal_production_30ps,population_diagonal_purity,2220,0.450207062005
master_results,population_diagonal_production_30ps,population_diagonal_purity,2230,0.449544669988
master_results,population_diagonal_production_30ps,population_diagonal_purity,2240,0.448902528739
master_results,population_diagonal_production_30ps,population_diagonal_purity,2250,0.44828124232
master_results,population_diagonal_production_30ps,population_diagonal_purity,2260,0.447680080403
master_results,population_diagonal_production_30ps,population_diagonal_purity,2270,0.447096622522
master_results,population_diagonal_production_30ps,population_diagonal_purity,2280,0.446528374421
master_results,population_diagonal_production_30ps,population_diagonal_purity,2290,0.445972555157
master_results,population_diagonal_production_30ps,population_diagonal_purity,2300,0.445427343638
master_results,population_diagonal_production_30ps,population_diagonal_purity,2310,0.444891058571
master_results,population_diagonal_production_30ps,population_diagonal_purity,2320,0.444362746274
master_results,population_diagonal_production_30ps,population_diagonal_purity,2330,0.443841631961
master_results,population_diagonal_production_30ps,population_diagonal_purity,2340,0.443327104553
master_results,population_diagonal_production_30ps,population_diagonal_purity,2350,0.442818724111
master_results,population_diagonal_production_30ps,population_diagonal_purity,2360,0.442316043147
master_results,population_diagonal_production_30ps,population_diagonal_purity,2370,0.44181866566
master_results,population_diagonal_production_30ps,population_diagonal_purity,2380,0.441326154654
master_results,population_diagonal_production_30ps,population_diagonal_purity,2390,0.440838165776
master_results,population_diagonal_production_30ps,population_diagonal_purity,2400,0.440354396517
master_results,population_diagonal_production_30ps,population_diagonal_purity,2410,0.439874613685
master_results,population_diagonal_production_30ps,population_diagonal_purity,2420,0.439398622478
master_results,population_diagonal_production_30ps,population_diagonal_purity,2430,0.43892623542
master_results,population_diagonal_production_30ps,population_diagonal_purity,2440,0.43845727525
master_results,population_diagonal_production_30ps,population_diagonal_purity,2450,0.43799157942
master_results,population_diagonal_production_30ps,population_diagonal_purity,2460,0.437528990734
master_results,population_diagonal_production_30ps,population_diagonal_purity,2470,0.437069366875
master_results,population_diagonal_production_30ps,population_diagonal_purity,2480,0.436612577207
master_results,population_diagonal_production_30ps,population_diagonal_purity,2490,0.436158508382
master_results,population_diagonal_production_30ps,population_diagonal_purity,2500,0.435707056634
master_results,population_diagonal_production_30ps,population_diagonal_purity,2510,0.435258144279
master_results,population_diagonal_production_30ps,population_diagonal_purity,2520,0.434811699476
master_results,population_diagonal_production_30ps,population_diagonal_purity,2530,0.434367666364
master_results,population_diagonal_production_30ps,population_diagonal_purity,2540,0.433925965951
master_results,population_diagonal_production_30ps,population_diagonal_purity,2550,0.433486552965
master_results,population_diagonal_production_30ps,population_diagonal_purity,2560,0.433049367823
master_results,population_diagonal_production_30ps,population_diagonal_purity,2570,0.432614366786
master_results,population_diagonal_production_30ps,population_diagonal_purity,2580,0.432181515982
master_results,population_diagonal_production_30ps,population_diagonal_purity,2590,0.431750757702
master_results,population_diagonal_production_30ps,population_diagonal_purity,2600,0.431322064101
master_results,population_diagonal_production_30ps,population_diagonal_purity,2610,0.43089540868
master_results,population_diagonal_production_30ps,population_diagonal_purity,2620,0.430470756171
master_results,population_diagonal_production_30ps,population_diagonal_purity,2630,0.430048079842
master_results,population_diagonal_production_30ps,population_diagonal_purity,2640,0.429627340849
master_results,population_diagonal_production_30ps,population_diagonal_purity,2650,0.429208520446
master_results,population_diagonal_production_30ps,population_diagonal_purity,2660,0.428791596506
master_results,population_diagonal_production_30ps,population_diagonal_purity,2670,0.428376547663
master_results,population_diagonal_production_30ps,population_diagonal_purity,2680,0.42796335304
master_results,population_diagonal_production_30ps,population_diagonal_purity,2690,0.427551992563
master_results,population_diagonal_production_30ps,population_diagonal_purity,2700,0.427142449619
master_results,population_diagonal_production_30ps,population_diagonal_purity,2710,0.426734709772
master_results,population_diagonal_production_30ps,population_diagonal_purity,2720,0.426328743095
master_results,population_diagonal_production_30ps,population_diagonal_purity,2730,0.425924539816
master_results,population_diagonal_production_30ps,population_diagonal_purity,2740,0.425522089583
master_results,population_diagonal_production_30ps,population_diagonal_purity,2750,0.425121376293
master_results,population_diagonal_production_30ps,population_diagonal_purity,2760,0.424722373699
master_results,population_diagonal_production_30ps,population_diagonal_purity,2770,0.424325075531
master_results,population_diagonal_production_30ps,population_diagonal_purity,2780,0.423929471949
master_results,population_diagonal_production_30ps,population_diagonal_purity,2790,0.423535550169
master_results,population_diagonal_production_30ps,population_diagonal_purity,2800,0.423143290553
