basis,mode_index,energy_meV,ipr,gamma_over_gamma0
hamiltonian_eigenmode,107,264.908543266,55.0554933316,0.12454084705
hamiltonian_eigenmode,108,279.91201423,56.8521783112,0.288311785389
hamiltonian_eigenmode,109,283.971251544,61.6437995122,0.00398881690421
hamiltonian_eigenmode,110,284.348435167,62.8847210349,0.0118239790287
hamiltonian_eigenmode,111,289.717123308,62.1661411159,0.157613756292
hamiltonian_eigenmode,112,310.327060285,59.9308883285,0.17912386904
hamiltonian_eigenmode,113,311.985752788,57.9626337558,0.209703671278
hamiltonian_eigenmode,114,329.248125739,60.5864313137,0.0575293918422
hamiltonian_eigenmode,115,338.643875502,66.5696857987,0.0465439662637
hamiltonian_eigenmode,116,354.092903273,60.9241836742,0.114388230314
hamiltonian_eigenmode,117,355.431516857,61.6993364833,0.0714528950412
hamiltonian_eigenmode,118,377.826436298,63.5865017543,0.177701536349
hamiltonian_eigenmode,119,385.779064167,65.2915886492,0.074102579109
hamiltonian_eigenmode,120,388.657768363,60.3036286665,0.082022453136
hamiltonian_eigenmode,121,388.850384567,63.146301289,0.0409520602829
hamiltonian_eigenmode,122,409.358376789,61.0102924537,0.00812238679625
hamiltonian_eigenmode,123,409.846765823,63.6762866667,0.00235141608309
hamiltonian_eigenmode,124,422.939565224,65.9463451899,0.0295704867216
hamiltonian_eigenmode,125,427.366936354,64.740175309,0.0111609914072
hamiltonian_eigenmode,126,457.608976101,63.8550748334,0.0524748833179
hamiltonian_eigenmode,127,459.874030993,64.3513964649,0.0205854281754
hamiltonian_eigenmode,128,479.960012561,61.9275163322,0.00361089076236
hamiltonian_eigenmode,129,480.561723298,64.1430651139,0.00103736351604
radiative_eigenmode,0,303.887275604,13.2796879264,-8.35300380348e-14
radiative_eigenmode,1,342.813439375,23.0274142442,-7.8951344525e-14
radiative_eigenmode,2,356.602913856,21.9519583299,-6.09993200555e-14
radiative_eigenmode,3,216.321297449,11.0940134183,-5.91618661474e-14
radiative_eigenmode,4,304.583530493,33.7873785371,-5.44189253848e-14
radiative_eigenmode,5,226.763676307,33.0854419824,-5.26984936647e-14
radiative_eigenmode,6,273.579986199,30.2490056949,-5.26677508057e-14
radiative_eigenmode,7,263.333707214,21.4764015593,-4.95287058841e-14
radiative_eigenmode,8,226.980506318,24.814321117,-4.67449790196e-14
radiative_eigenmode,9,252.953413782,23.5044271909,-4.38650702392e-14
radiative_eigenmode,10,282.743096363,24.6222659563,-4.12924268964e-14
radiative_eigenmode,11,186.710848714,27.9389965234,-3.89995694521e-14
radiative_eigenmode,12,158.246477653,23.1510955153,-3.82854562359e-14
radiative_eigenmode,13,142.875759856,20.0850483662,-3.60115507993e-14
radiative_eigenmode,14,226.739065764,20.7272448286,-3.43443680083e-14
radiative_eigenmode,15,179.510762062,46.0116301653,-3.39585908681e-14
radiative_eigenmode,16,163.606451713,13.7868427245,-3.30042262917e-14
radiative_eigenmode,17,195.199149678,29.766462126,-3.18747553575e-14
radiative_eigenmode,18,66.2297424915,29.0437486805,-3.02305838286e-14
radiative_eigenmode,19,109.607696887,23.7420877191,-2.85044250362e-14
radiative_eigenmode,20,72.1969926052,14.2403305315,-2.65078905928e-14
radiative_eigenmode,21,32.5789329905,40.2517040296,-2.59191291926e-14
radiative_eigenmode,22,70.7627956518,21.6572024908,-2.04919256894e-14
radiative_eigenmode,23,15.8213931703,17.8554449174,-1.92295399387e-14
radiative_eigenmode,24,116.026379552,27.1856786976,-1.88384755165e-14
radiative_eigenmode,25,111.485304538,37.6547815391,-1.83910442295e-14
radiative_eigenmode,26,48.5958141832,19.1048292053,-1.6035640371e-14
radiative_eigenmode,27,52.4578474012,36.227441758,-1.51999200074e-14
radiative_eigenmode,28,21.3678865554,32.0231207256,-1.41584497319e-14
radiative_eigenmode,29,-20.9320696763,21.6391928059,-1.19653915643e-14
radiative_eigenmode,30,-12.6751640073,33.4647044723,-8.79467546119e-15
radiative_eigenmode,31,58.2600134912,32.5006164263,-8.6796834756e-15
radiative_eigenmode,32,132.938998056,12.3003381632,-8.62567037547e-15
radiative_eigenmode,33,-0.196839415671,23.3911433595,-6.21753201577e-15
radiative_eigenmode,34,-12.8929472831,24.6586615838,-5.81637615225e-15
radiative_eigenmode,35,-6.48455231744,35.0107732895,-4.8872597266e-15
radiative_eigenmode,36,23.9229096435,34.1640299146,-3.13451803424e-15
radiative_eigenmode,37,-23.3111431353,39.0347890219,-3.09188310506e-15
radiative_eigenmode,38,1.77326101137,27.3976193533,-3.02225324755e-16
radiative_eigenmode,39,-77.5037106778,37.8079749993,4.87662769412e-16
radiative_eigenmode,40,-45.4447280227,17.8919198028,2.73691350754e-15
radiative_eigenmode,41,-7.2677166827,40.985533095,4.25382689833e-15
radiative_eigenmode,42,30.4060972166,32.8685449662,5.40021461402e-15
radiative_eigenmode,43,14.7139093367,22.2454494081,5.95139800507e-15
radiative_eigenmode,44,-67.4714432811,26.0560946407,7.80303186676e-15
radiative_eigenmode,45,-43.3604803543,38.8165346295,9.04305181163e-15
radiative_eigenmode,46,-7.79371985401,30.6978758988,1.1269974894e-14
radiative_eigenmode,47,-42.8989695988,9.67810071163,1.14171242052e-14
radiative_eigenmode,48,-42.60579549,12.868848093,1.28072603325e-14
radiative_eigenmode,49,-9.47395635074,37.9215132826,1.59786301011e-14
radiative_eigenmode,50,-56.4349905966,43.8417120508,1.68681429718e-14
radiative_eigenmode,51,-24.9025241043,40.5752499105,1.77026937166e-14
radiative_eigenmode,52,-126.933563689,15.9614162771,1.88532753634e-14
radiative_eigenmode,53,-138.568335764,45.67636644,2.05112187887e-14
radiative_eigenmode,54,-185.937309985,30.2790117721,2.09962838582e-14
radiative_eigenmode,55,-125.598890738,22.420377565,2.26077723891e-14
