dataset_id,snr,snr_c,fdm_lite,psi_lite,iqi_spec,delta_lambda_over_fwhm,delta_bic,p_doublet,peak_nm,prep_stability,p_boundary
pubchem::148124,80,300,-0.733333,0.05,0.240667,,,,,0.95,0.05
pubchem::148124,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,20,300,-0.933333,0.05,0.0601667,,,,,0.95,0.05
pubchem::148124,20,300,-0.933333,0.05,0.0601667,,,,,0.95,0.05
pubchem::148124,450,300,0.5,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,253738,300,844.793,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,6526,300,20.7533,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::148124,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::148124,450,300,0.5,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::148124,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::148124,450,300,0.5,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,1.5,300,-0.995,0.05,0.0045125,,,,,0.95,0.05
pubchem::148124,5.6,300,-0.981333,0.05,0.0168467,,,,,0.95,0.05
pubchem::148124,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::148124,2015,300,5.71667,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,20645,300,67.8167,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,501922,300,1672.07,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,1311,300,3.37,0.05,0.9025,,,,,0.95,0.05
pubchem::15597809,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::156019401,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::16051941,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::163409092,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::16750137,5923,300,18.7433,0.05,0.9025,,,,,0.95,0.05
pubchem::16750137,5923,300,18.7433,0.05,0.9025,,,,,0.95,0.05
pubchem::16750137,5923,300,18.7433,0.05,0.9025,,,,,0.95,0.05
pubchem::16750137,23511,300,77.37,0.05,0.9025,,,,,0.95,0.05
pubchem::168475950,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::169494478,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::171346274,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::171713995,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::184492,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::184492,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::184492,195,300,-0.35,0.05,0.586625,,,,,0.95,0.05
pubchem::20055492,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::2082,2.02074e+07,300,67356.9,0.05,0.9025,,,,,0.95,0.05
pubchem::2082,547852,300,1825.17,0.05,0.9025,,,,,0.95,0.05
pubchem::2082,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::2082,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::2082,8,300,-0.973333,0.05,0.0240667,,,,,0.95,0.05
pubchem::2082,200,300,-0.333333,0.05,0.601667,,,,,0.95,0.05
pubchem::2082,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,21,300,-0.93,0.05,0.063175,,,,,0.95,0.05
pubchem::2082,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::2082,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::2082,1807,300,5.02333,0.05,0.9025,,,,,0.95,0.05
pubchem::2082,1807,300,5.02333,0.05,0.9025,,,,,0.95,0.05
pubchem::2082,2.6,300,-0.991333,0.05,0.00782167,,,,,0.95,0.05
pubchem::2082,17324,300,56.7467,0.05,0.9025,,,,,0.95,0.05
pubchem::2082,501922,300,1672.07,0.05,0.9025,,,,,0.95,0.05
pubchem::2082,491,300,0.636667,0.05,0.9025,,,,,0.95,0.05
pubchem::21584522,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::21864436,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::220401,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::220401,419,300,0.396667,0.05,0.9025,,,,,0.95,0.05
pubchem::23643564,,300,,0.05,,,10.3,0.994234,,0.95,0.05
pubchem::23643564,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::23643564,,300,,0.05,,,10.3,0.994234,,0.95,0.05
pubchem::23643564,,300,,0.05,,,10.3,0.994234,,0.95,0.05
pubchem::23643564,,300,,0.05,,,10.3,0.994234,,0.95,0.05
pubchem::241902,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::241903,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::24721032,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::24749353,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::249332,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::249332,4,300,-0.986667,0.05,0.0120333,,,,,0.95,0.05
pubchem::249332,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::249332,4,300,-0.986667,0.05,0.0120333,,,,,0.95,0.05
pubchem::249332,,300,,0.05,,,21,0.999972,,0.95,0.05
pubchem::249332,501922,300,1672.07,0.05,0.9025,,,,,0.95,0.05
