dataset_id,delta_lambda_nm,peak_nm,fwhm_nm,snr,delta_bic,temperature_k,baseline_note,prep_label
pubchem::5978,,,,4,,,,pubchem_pugview
pubchem::5978,,,,3,,,,pubchem_pugview
pubchem::5978,,,,3,,,,pubchem_pugview
pubchem::5978,,,,1,,,,pubchem_pugview
pubchem::5978,,,,3639,,3639,,pubchem_pugview
pubchem::5978,,,,5,,,,pubchem_pugview
pubchem::5978,,,,3,,,,pubchem_pugview
pubchem::5978,,,,44,,,,pubchem_pugview
pubchem::5978,,,,57,,,,pubchem_pugview
pubchem::5978,,,,2006,,,,pubchem_pugview
pubchem::5978,,,,2006,,,,pubchem_pugview
pubchem::5978,,,,2006,,,,pubchem_pugview
pubchem::5978,,,,31164,,,,pubchem_pugview
pubchem::5978,,,,501922,,,,pubchem_pugview
pubchem::5978,,,,278,,,,pubchem_pugview
pubchem::6167,107.5,,,0.9,,,,pubchem_pugview
pubchem::6167,,,,0,,,,pubchem_pugview
pubchem::6167,,,,547852,,,,pubchem_pugview
pubchem::6167,,,,3,,,,pubchem_pugview
pubchem::6167,,,,1.44,,49,,pubchem_pugview
pubchem::6167,,,,8,,,,pubchem_pugview
pubchem::6167,,,,507791,,,,pubchem_pugview
pubchem::6167,,,,45,,,,pubchem_pugview
pubchem::6167,,,,0.5,,,,pubchem_pugview
pubchem::6167,,,,1,,8,,pubchem_pugview
pubchem::6167,,,,0.5,,,,pubchem_pugview
pubchem::6167,,,,10,,5,,pubchem_pugview
pubchem::6167,,,,5,,,,pubchem_pugview
pubchem::6167,,,,2008,,,,pubchem_pugview
pubchem::6167,,,,40,,,,pubchem_pugview
pubchem::6167,,,,3,,,,pubchem_pugview
pubchem::6167,,,,100,,3,,pubchem_pugview
pubchem::6167,,,,7,,,,pubchem_pugview
pubchem::6167,170,230,,,,,,pubchem_pugview
pubchem::6167,170,243,,,,,,pubchem_pugview
pubchem::6167,,,,254,,,,pubchem_pugview
pubchem::6167,,,,10,,,,pubchem_pugview
pubchem::6167,,,,4370,,,,pubchem_pugview
pubchem::6167,,,,1,,,,pubchem_pugview
pubchem::6167,,,,1277,,,,pubchem_pugview
pubchem::6167,,,,1277,,,,pubchem_pugview
pubchem::6167,,,,10,,40,,pubchem_pugview
pubchem::6167,,,,10,,40,,pubchem_pugview
pubchem::6167,,,,10,,40,,pubchem_pugview
pubchem::6167,,,,2,,,,pubchem_pugview
pubchem::6167,,,,9.1,,,,pubchem_pugview
pubchem::6167,,,,3,,,,pubchem_pugview
pubchem::6167,,,,4,,,,pubchem_pugview
pubchem::6167,,,,3,,,,pubchem_pugview
pubchem::6167,,,,8,,,,pubchem_pugview
pubchem::6167,,,,10,,,,pubchem_pugview
pubchem::6167,,,,2,,,,pubchem_pugview
pubchem::6167,,,,30,,,,pubchem_pugview
pubchem::6167,,,,6,,,,pubchem_pugview
pubchem::6167,,,,041,,979,,pubchem_pugview
pubchem::6167,,,,832,,998,,pubchem_pugview
pubchem::6167,,,,76,,45,,pubchem_pugview
pubchem::6167,,,,041,,979,,pubchem_pugview
pubchem::6167,,,,041,,979,,pubchem_pugview
pubchem::6167,,,,832,,998,,pubchem_pugview
pubchem::6167,,,,832,,998,,pubchem_pugview
pubchem::6167,,,,76,,45,,pubchem_pugview
pubchem::6167,,,,76,,45,,pubchem_pugview
pubchem::6167,,,,2009,,,,pubchem_pugview
pubchem::6167,,,,1.9,,,,pubchem_pugview
pubchem::6167,,,,1.9,,,,pubchem_pugview
pubchem::6167,,,,2015,,,,pubchem_pugview
pubchem::6167,,,,19694,,,,pubchem_pugview
pubchem::6167,,,,501922,,,,pubchem_pugview
pubchem::6167,,,,348,,,,pubchem_pugview
pubchem::6440397,,,,10,,,,pubchem_pugview
pubchem::6675804,,,,6,,,,pubchem_pugview
pubchem::9854073,,,,6,,,,pubchem_pugview
pubchem::9854073,,,,17,,,,pubchem_pugview
pubchem::9854073,,,,547852,,,,pubchem_pugview
pubchem::9854073,,,,507791,,,,pubchem_pugview
pubchem::9854073,,,,0.90,,,,pubchem_pugview
pubchem::9854073,,,,95,,,,pubchem_pugview
pubchem::9854073,,,,10,,,,pubchem_pugview
pubchem::9949641,,,,62444,,,,pubchem_pugview
