dataset_id,source_file,doi,title,year,technique_tag
crossref::10.24450/journals/abrep.2019.e17,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.24450/journals/abrep.2019.e17,AA344 and AA345 antibodies recognize the microtubule network in human cells by immunofluorescence,2019,fluorescence
crossref::10.1021/ja504864m,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1021/ja504864m,Mechanism of Tau-Promoted Microtubule Assembly As Probed by NMR Spectroscopy,2014,nmr
crossref::10.1007/978-1-4899-1618-1_4,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1007/978-1-4899-1618-1_4,Microtubule Pattern During Cytoplasmic Reorganization of the Fertilized Xenopus Egg: Effect of UV Irradiation,1995,uv-vis
crossref::10.1016/0003-2697(80)90080-9,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/0003-2697(80)90080-9,A rapid dilution cuvette for kinetic studies of microtubule disassembly,1980,uv-vis
crossref::10.1007/978-1-4615-5845-3_26,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1007/978-1-4615-5845-3_26,Probing of Microtubule Structures with Monoclonal Antibodies and Immunofluorescence Microscopy,1996,fluorescence
crossref::10.1083/jcb.109.2.637,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1083/jcb.109.2.637,Polewards microtubule flux in the mitotic spindle: evidence from photoactivation of fluorescence.,1989,fluorescence
crossref::10.1016/s0006-3495(01)75680-9,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/s0006-3495(01)75680-9,Microtubule Treadmilling in Vitro Investigated by Fluorescence Speckle and Confocal Microscopy,2001,fluorescence
crossref::10.1016/j.bbamcr.2019.118572,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/j.bbamcr.2019.118572,Fluorescence correlation spectroscopy reveals the dynamics of kinesins interacting with organelles during microtubule-dependent transport in cells,2020,fluorescence
crossref::10.1002/cm.970070410,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1002/cm.970070410,Microtubule cycle in <i>Chlamydomonas reinhardtii</i>: An Immunofluorescence study,1987,fluorescence
crossref::10.1007/s12038-018-9765-2,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1007/s12038-018-9765-2,Fluorescence microscopy applied to intracellular transport by microtubule motors,2018,fluorescence
crossref::10.1017/s143192761100105x,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1017/s143192761100105x,Total Internal Reflection Fluorescence Microscopy to Study Microtubule Dynamics,2011,fluorescence
crossref::10.15832/ankutbd.447642,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.15832/ankutbd.447642,Comparison of Microtubule Organization in Arabidopsis thaliana TUBGFP and MBD-GFP Mutants Exposed to UV-B Radiation,2017,uv-vis
crossref::10.1083/jcb.76.1.229,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1083/jcb.76.1.229,Microtubule system of isolated fish melanophores as revealed by immunofluorescence microscopy.,1978,fluorescence
crossref::10.1038/254152a0,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1038/254152a0,Fluorescence techniques for following interactions of microtubule subunits and membranes,1975,fluorescence
crossref::10.2142/biophys.50.s145_4,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.2142/biophys.50.s145_4,"3P004 Structural studies of microtubule pulse-end tracking protein EB1 by solution NMR spectroscopy(Protein: Structure,The 48th Annual Meeting of the Biophysical Society of Japan)",2010,nmr
crossref::10.3410/f.9206957.9800055,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.3410/f.9206957.9800055,"Faculty Opinions recommendation of A generative model of microtubule distributions, and indirect estimation of its parameters from fluorescence microscopy images.",2011,fluorescence
crossref::10.1016/0309-1651(81)90009-6,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/0309-1651(81)90009-6,Visualization of assembled and disassembled microtubule protein by double label fluorescence microscopy,1981,fluorescence
crossref::10.1016/0012-1606(86)90391-x,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/0012-1606(86)90391-x,"Microtubule cycles in oocytes of the surf clam, Spisula solidissima: An immunofluorescence study",1986,fluorescence
crossref::10.5772/intechopen.93524,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.5772/intechopen.93524,Fluorescence Methods for the Analysis of Microtubule/Microfilament Involvement in the Regulation of Endothelial Barrier Function,2020,fluorescence
crossref::10.1016/j.jalz.2018.06.1122,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/j.jalz.2018.06.1122,P2‐430: MR SPECTROSCOPY FROM FRONTAL LOBE AND POSTERIOR CINGULATE GYRUS IN ASYMPTOMATIC AND SYMPTOMATIC MICROTUBULE‐ASSOCIATED PROTEIN TAU (MAPT) MUTATION CARRIERS,2018,spectroscopy
